eco:b0001	K08278
eco:b0002	K12524
eco:b0003	K00872
eco:b0004	K01733
eco:b0006	K09861
eco:b0007	K03310
eco:b0008	K00616
eco:b0009	K03831
eco:b0010	K07034
eco:b0014	K04043
eco:b0015	K03686
eco:b0018	K18919
eco:b0019	K03313
eco:b0020	K03717
eco:b0021	K07480
eco:b0023	K02968
eco:b0025	K11753
eco:b0026	K01870
eco:b0027	K03101
eco:b0028	K03774
eco:b0029	K03527
eco:b0030	K12700
eco:b0031	K00215
eco:b0032	K01956
eco:b0033	K01955
eco:b0034	K08277
eco:b0035	K08279
eco:b0036	K08299
eco:b0037	K02182
eco:b0038	K08298
eco:b0039	K08297
eco:b0040	K05245
eco:b0041	K03521
eco:b0042	K03522
eco:b0043	K00313
eco:b0044	K03855
eco:b0045	K08368
eco:b0046	K11746
eco:b0047	K11745
eco:b0048	K00287
eco:b0049	K01525
eco:b0050	K06195
eco:b0051	K02528
eco:b0052	K00097
eco:b0053	K03771
eco:b0054	K04744
eco:b0055	K05801
eco:b0058	K06177
eco:b0059	K03580
eco:b0060	K02336
eco:b0061	K03077
eco:b0062	K01804
eco:b0063	K00853
eco:b0064	K02099
eco:b0066	K02062
eco:b0067	K02063
eco:b0068	K02064
eco:b0069	K11925
eco:b0070	K03291
eco:b0071	K01704
eco:b0072	K01703
eco:b0073	K00052
eco:b0074	K01649
eco:b0075	K05806
eco:b0076	K05798
eco:b0077	K01652
eco:b0078	K01653
eco:b0080	K03435
eco:b0081	K03925
eco:b0082	K03438
eco:b0083	K03586
eco:b0084	K03587
eco:b0085	K01928
eco:b0086	K01929
eco:b0087	K01000
eco:b0088	K01925
eco:b0089	K03588
eco:b0090	K02563
eco:b0091	K01924
eco:b0092	K01921
eco:b0093	K03589
eco:b0094	K03590
eco:b0095	K03531
eco:b0096	K02535
eco:b0097	K13301
eco:b0098	K03070
eco:b0099	K03574
eco:b0101	K09862
eco:b0102	K18778
eco:b0103	K00859
eco:b0104	K00364
eco:b0106	K02505
eco:b0107	K02504
eco:b0108	K02682
eco:b0109	K00767
eco:b0110	K03806
eco:b0111	K03807
eco:b0112	K11734
eco:b0113	K05799
eco:b0114	K00163
eco:b0115	K00627
eco:b0116	K00382
eco:b0118	K01682
eco:b0119	K09910
eco:b0120	K01611
eco:b0121	K00797
eco:b0123	K14588
eco:b0124	K00117
eco:b0125	K00760
eco:b0126	K01673
eco:b0127	K01990
eco:b0128	K01992
eco:b0131	K01579
eco:b0132	K24088
eco:b0133	K01918
eco:b0134	K00606
eco:b0139	K07347
eco:b0140	K15540
eco:b0142	K00950
eco:b0143	K00970
eco:b0144	K01894
eco:b0145	K06204
eco:b0146	K06206
eco:b0147	K01975
eco:b0148	K03579
eco:b0149	K05365
eco:b0150	K02014
eco:b0151	K10829
eco:b0152	K23227
eco:b0153	K23228
eco:b0154	K01845
eco:b0155	K03281
eco:b0156	K15724
eco:b0158	K06858
eco:b0159	K01243
eco:b0160	K01129
eco:b0161	K04771
eco:b0162	K02647
eco:b0164	K07098
eco:b0166	K00674
eco:b0167	K00990
eco:b0168	K01265
eco:b0169	K02967
eco:b0170	K02357
eco:b0171	K09903
eco:b0172	K02838
eco:b0173	K00099
eco:b0174	K00806
eco:b0175	K00981
eco:b0176	K11749
eco:b0177	K07277
eco:b0178	K06142
eco:b0179	K02536
eco:b0180	K02372
